Idopont,CPU_szazalek,RAM_GB,GPU_szazalek,VRAM_GB,GPU_Watt,GPU_Celsius
18:58:18,50.1,16.47,11,11.38,39.9,49
18:58:19,50.1,16.46,16,11.38,41.4,47
18:58:20,50.1,16.46,15,11.38,40.8,47
18:58:21,50.1,16.47,16,11.38,40.2,47
18:58:22,50.2,16.47,15,11.38,40.8,46
18:58:23,50.1,16.47,15,11.38,40.2,46
18:58:24,50.3,16.46,14,11.38,40.8,46
18:58:25,50.1,16.46,8,11.38,40.3,45
18:58:26,50.2,16.47,8,11.38,39.4,45
18:58:27,50.1,16.47,8,11.38,39.9,45
18:58:28,35.9,16.47,11,11.38,39.8,48
18:58:29,0.1,16.47,0,11.38,23.9,44
18:58:30,5.3,16.52,0,11.38,15.6,43
18:58:31,49.2,16.51,0,11.38,15.8,43
18:58:32,41.3,16.23,2,11.38,16.4,44
18:58:33,37.6,16.69,15,11.38,72.8,46
18:58:34,50.2,16.69,13,11.38,45.8,45
18:58:35,50.0,16.69,8,11.38,42.5,44
18:58:36,50.2,16.64,8,11.38,38.5,44
18:58:37,50.2,16.63,8,11.38,39.0,44
18:58:38,50.1,16.62,8,11.38,38.8,44
18:58:39,50.2,16.61,13,11.38,38.6,46
18:58:40,50.1,16.60,15,11.38,39.3,44
18:58:41,50.2,16.60,16,11.38,38.9,44
18:58:42,50.1,16.59,15,11.38,38.9,44
18:58:43,50.1,16.59,15,11.38,39.4,43
18:58:44,50.1,16.58,15,11.38,38.5,43
18:58:45,50.2,16.57,11,11.38,38.5,43
18:58:46,50.1,16.56,8,11.38,39.0,43
18:58:47,50.2,16.55,8,11.38,38.6,42
18:58:48,50.1,16.55,8,11.38,37.8,42
18:58:49,50.1,16.54,8,11.38,38.6,43
18:58:50,50.2,16.53,13,11.38,38.7,45
18:58:51,50.1,16.53,15,11.38,39.2,43
18:58:52,50.2,16.52,16,11.38,38.5,43
18:58:53,50.1,16.52,16,11.38,38.6,43
18:58:54,50.1,16.52,16,11.38,39.1,42
18:58:55,50.1,16.51,16,11.38,38.7,42
18:58:56,50.2,16.51,16,11.38,39.2,42
18:58:57,50.1,16.51,16,11.38,39.0,42
18:58:58,50.1,16.51,16,11.38,38.2,42
18:58:59,50.2,16.51,16,11.38,39.0,42
18:59:00,50.1,16.50,16,11.38,39.1,42
18:59:01,50.2,16.50,16,11.38,39.2,41
18:59:02,50.1,16.50,16,11.38,38.1,41
18:59:03,50.3,16.50,16,11.38,38.7,41
18:59:04,50.2,16.50,16,11.38,38.7,41
18:59:05,50.2,16.50,16,11.38,38.1,42
18:59:06,50.1,16.50,16,11.38,38.8,42
18:59:07,50.2,16.49,16,11.38,38.0,42
18:59:08,50.2,16.49,16,11.38,38.5,42
18:59:09,50.2,16.49,16,11.38,37.9,42
18:59:10,9.4,16.49,0,11.38,23.8,41
18:59:11,0.1,16.49,0,11.38,15.9,41
18:59:12,21.9,16.54,0,11.38,17.0,41
18:59:13,50.1,16.58,0,11.38,17.1,41
18:59:14,30.1,16.53,82,11.38,48.1,50
18:59:15,48.8,16.52,8,11.38,60.7,43
18:59:16,50.2,16.50,8,11.38,44.5,42
18:59:17,50.2,16.50,14,11.38,38.2,44
18:59:18,50.0,16.49,15,11.38,38.8,43
18:59:19,50.2,16.49,15,11.38,39.3,43
18:59:20,50.2,16.49,15,11.38,38.7,43
18:59:21,50.1,16.49,15,11.38,39.2,43
18:59:22,50.1,16.49,8,11.38,38.5,43
18:59:23,50.2,16.49,8,11.38,38.7,43
18:59:24,50.1,16.49,8,11.38,38.8,43
18:59:25,50.1,16.49,9,11.38,39.1,45
18:59:26,50.1,16.49,8,11.38,38.9,45
18:59:27,50.1,16.49,15,11.38,38.7,45
18:59:28,50.2,16.49,15,11.38,39.7,44
18:59:29,50.1,16.49,15,11.38,39.8,43
18:59:30,50.3,16.49,15,11.38,39.1,43
18:59:31,50.2,16.49,8,11.38,39.6,43
18:59:32,21.2,16.49,0,11.38,28.5,42
18:59:33,0.0,16.49,0,11.38,16.6,42
18:59:34,16.2,16.55,0,11.38,15.7,42
18:59:35,50.1,16.48,0,11.38,15.9,42
18:59:36,30.4,16.47,81,11.38,57.4,48
18:59:37,48.9,16.47,15,11.38,64.7,44
18:59:38,50.2,16.47,8,11.38,44.9,44
18:59:39,50.1,16.47,8,11.38,38.9,44
18:59:40,50.2,16.47,11,11.38,38.5,47
18:59:41,50.1,16.47,15,11.38,40.5,45
18:59:42,50.3,16.47,15,11.38,39.8,44
18:59:43,50.2,16.47,15,11.38,39.9,44
18:59:44,50.1,16.47,8,11.38,39.5,44
18:59:45,50.2,16.47,8,11.38,39.6,44
18:59:46,50.2,16.47,8,11.38,39.5,44
18:59:47,50.1,16.47,8,11.38,39.5,44
18:59:48,50.2,16.47,12,11.38,38.9,47
18:59:49,50.2,16.47,16,11.38,40.8,45
18:59:50,50.2,16.47,15,11.38,40.4,45
18:59:51,50.0,16.47,15,11.38,40.1,45
18:59:52,50.2,16.47,15,11.38,39.6,45
18:59:53,50.1,16.47,15,11.38,40.2,45
18:59:54,50.3,16.47,8,11.38,39.7,45
18:59:55,50.1,16.47,8,11.38,39.6,45
18:59:56,50.2,16.47,8,11.38,39.0,45
18:59:57,50.1,16.47,8,11.38,39.6,45
18:59:58,50.2,16.47,13,11.38,39.1,47
18:59:59,50.2,16.47,16,11.38,40.2,46
19:00:00,50.1,16.47,16,11.38,40.4,45
